"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","100nF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C2,C3","47uF/50V","~","Capacitor_SMD:CP_Elec_5x5.9","2",""
"D1","LED1","~","LED_SMD:LED_0805_2012Metric","1",""
"D2","LED2","~","LED_SMD:LED_0805_2012Metric","1",""
"D3","LED3","~","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED4","~","LED_SMD:LED_0805_2012Metric","1",""
"D5","LED5","~","LED_SMD:LED_0805_2012Metric","1",""
"D6","LED6","~","LED_SMD:LED_0805_2012Metric","1",""
"D7","LED7","~","LED_SMD:LED_0805_2012Metric","1",""
"D8","LED8","~","LED_SMD:LED_0805_2012Metric","1",""
"D9","LED9","~","LED_SMD:LED_0805_2012Metric","1",""
"D10","LED10","~","LED_SMD:LED_0805_2012Metric","1",""
"J1,J2","Conn_01x01_Pin","~","-- valores mistos --","2",""
"Q1","BC817","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1","47K","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","100K","~","Resistor_SMD:R_0805_2012Metric","1",""
"R3","100R","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1K","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_SPST_FSMSM","1",""
"U1","LM555xN","http://www.ti.com/lit/ds/symlink/lm555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","4017","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","1",""
